dataset,instance_id,image,on_dockerhub
swebench_full,django__django-11727,swebench/sweb.eval.x86_64.django_1776_django-11727,True
swebench_full,django__django-11728,swebench/sweb.eval.x86_64.django_1776_django-11728,True
swebench_full,django__django-11734,swebench/sweb.eval.x86_64.django_1776_django-11734,True
swebench_full,django__django-11740,swebench/sweb.eval.x86_64.django_1776_django-11740,True
swebench_full,django__django-11742,swebench/sweb.eval.x86_64.django_1776_django-11742,True
swebench_full,django__django-11749,swebench/sweb.eval.x86_64.django_1776_django-11749,True
swebench_full,django__django-11751,swebench/sweb.eval.x86_64.django_1776_django-11751,True
swebench_full,django__django-11754,swebench/sweb.eval.x86_64.django_1776_django-11754,True
swebench_full,django__django-11772,swebench/sweb.eval.x86_64.django_1776_django-11772,True
swebench_full,django__django-11790,swebench/sweb.eval.x86_64.django_1776_django-11790,True
swebench_full,django__django-11797,swebench/sweb.eval.x86_64.django_1776_django-11797,True
swebench_full,django__django-11808,swebench/sweb.eval.x86_64.django_1776_django-11808,True
swebench_full,django__django-11810,swebench/sweb.eval.x86_64.django_1776_django-11810,True
swebench_full,django__django-11815,swebench/sweb.eval.x86_64.django_1776_django-11815,True
swebench_full,django__django-11820,swebench/sweb.eval.x86_64.django_1776_django-11820,True
swebench_full,django__django-11823,swebench/sweb.eval.x86_64.django_1776_django-11823,True
swebench_full,django__django-11829,swebench/sweb.eval.x86_64.django_1776_django-11829,True
swebench_full,django__django-11848,swebench/sweb.eval.x86_64.django_1776_django-11848,True
swebench_full,django__django-11880,swebench/sweb.eval.x86_64.django_1776_django-11880,True
swebench_full,django__django-11883,swebench/sweb.eval.x86_64.django_1776_django-11883,True
swebench_full,django__django-11885,swebench/sweb.eval.x86_64.django_1776_django-11885,True
swebench_full,django__django-11891,swebench/sweb.eval.x86_64.django_1776_django-11891,True
swebench_full,django__django-11893,swebench/sweb.eval.x86_64.django_1776_django-11893,True
swebench_full,django__django-11894,swebench/sweb.eval.x86_64.django_1776_django-11894,True
swebench_full,django__django-11903,swebench/sweb.eval.x86_64.django_1776_django-11903,True
swebench_full,django__django-11905,swebench/sweb.eval.x86_64.django_1776_django-11905,True
swebench_full,django__django-11910,swebench/sweb.eval.x86_64.django_1776_django-11910,True
swebench_full,django__django-11911,swebench/sweb.eval.x86_64.django_1776_django-11911,True
swebench_full,django__django-11916,swebench/sweb.eval.x86_64.django_1776_django-11916,True
swebench_full,django__django-11951,swebench/sweb.eval.x86_64.django_1776_django-11951,True
swebench_full,django__django-11964,swebench/sweb.eval.x86_64.django_1776_django-11964,True
swebench_full,django__django-11983,swebench/sweb.eval.x86_64.django_1776_django-11983,True
swebench_full,django__django-11991,swebench/sweb.eval.x86_64.django_1776_django-11991,True
swebench_full,django__django-11997,swebench/sweb.eval.x86_64.django_1776_django-11997,True
swebench_full,django__django-11999,swebench/sweb.eval.x86_64.django_1776_django-11999,True
swebench_full,django__django-12009,swebench/sweb.eval.x86_64.django_1776_django-12009,True
swebench_full,django__django-12039,swebench/sweb.eval.x86_64.django_1776_django-12039,True
swebench_full,django__django-12049,swebench/sweb.eval.x86_64.django_1776_django-12049,True
swebench_full,django__django-12050,swebench/sweb.eval.x86_64.django_1776_django-12050,True
swebench_full,django__django-12062,swebench/sweb.eval.x86_64.django_1776_django-12062,True
swebench_full,django__django-12073,swebench/sweb.eval.x86_64.django_1776_django-12073,True
swebench_full,django__django-12091,swebench/sweb.eval.x86_64.django_1776_django-12091,True
swebench_full,django__django-12113,swebench/sweb.eval.x86_64.django_1776_django-12113,True
swebench_full,django__django-12121,swebench/sweb.eval.x86_64.django_1776_django-12121,True
swebench_full,django__django-12122,swebench/sweb.eval.x86_64.django_1776_django-12122,True
swebench_full,django__django-12125,swebench/sweb.eval.x86_64.django_1776_django-12125,True
swebench_full,django__django-12132,swebench/sweb.eval.x86_64.django_1776_django-12132,True
swebench_full,django__django-12143,swebench/sweb.eval.x86_64.django_1776_django-12143,True
swebench_full,django__django-12148,swebench/sweb.eval.x86_64.django_1776_django-12148,True
swebench_full,django__django-12153,swebench/sweb.eval.x86_64.django_1776_django-12153,True
swebench_full,django__django-12155,swebench/sweb.eval.x86_64.django_1776_django-12155,True
swebench_full,django__django-12161,swebench/sweb.eval.x86_64.django_1776_django-12161,True
swebench_full,django__django-12172,swebench/sweb.eval.x86_64.django_1776_django-12172,True
swebench_full,django__django-12184,swebench/sweb.eval.x86_64.django_1776_django-12184,True
swebench_full,django__django-12185,swebench/sweb.eval.x86_64.django_1776_django-12185,True
swebench_full,django__django-12187,swebench/sweb.eval.x86_64.django_1776_django-12187,True
swebench_full,django__django-12193,swebench/sweb.eval.x86_64.django_1776_django-12193,True
swebench_full,django__django-12196,swebench/sweb.eval.x86_64.django_1776_django-12196,True
swebench_full,django__django-12198,swebench/sweb.eval.x86_64.django_1776_django-12198,True
swebench_full,django__django-12209,swebench/sweb.eval.x86_64.django_1776_django-12209,True
swebench_full,django__django-12212,swebench/sweb.eval.x86_64.django_1776_django-12212,True
swebench_full,django__django-12225,swebench/sweb.eval.x86_64.django_1776_django-12225,True
swebench_full,django__django-12231,swebench/sweb.eval.x86_64.django_1776_django-12231,True
swebench_full,django__django-12237,swebench/sweb.eval.x86_64.django_1776_django-12237,True
swebench_full,django__django-12262,swebench/sweb.eval.x86_64.django_1776_django-12262,True
swebench_full,django__django-12273,swebench/sweb.eval.x86_64.django_1776_django-12273,True
swebench_full,django__django-12276,swebench/sweb.eval.x86_64.django_1776_django-12276,True
swebench_full,django__django-12281,swebench/sweb.eval.x86_64.django_1776_django-12281,True
swebench_full,django__django-12284,swebench/sweb.eval.x86_64.django_1776_django-12284,True
swebench_full,django__django-12286,swebench/sweb.eval.x86_64.django_1776_django-12286,True
swebench_full,django__django-12299,swebench/sweb.eval.x86_64.django_1776_django-12299,True
swebench_full,django__django-12304,swebench/sweb.eval.x86_64.django_1776_django-12304,True
swebench_full,django__django-12306,swebench/sweb.eval.x86_64.django_1776_django-12306,True
swebench_full,django__django-12308,swebench/sweb.eval.x86_64.django_1776_django-12308,True
swebench_full,django__django-12313,swebench/sweb.eval.x86_64.django_1776_django-12313,True
swebench_full,django__django-12325,swebench/sweb.eval.x86_64.django_1776_django-12325,True
swebench_full,django__django-12343,swebench/sweb.eval.x86_64.django_1776_django-12343,True
swebench_full,django__django-12360,swebench/sweb.eval.x86_64.django_1776_django-12360,True
swebench_full,django__django-12364,swebench/sweb.eval.x86_64.django_1776_django-12364,True
swebench_full,django__django-12394,swebench/sweb.eval.x86_64.django_1776_django-12394,True
swebench_full,django__django-12396,swebench/sweb.eval.x86_64.django_1776_django-12396,True
swebench_full,django__django-12406,swebench/sweb.eval.x86_64.django_1776_django-12406,True
swebench_full,django__django-12407,swebench/sweb.eval.x86_64.django_1776_django-12407,True
swebench_full,django__django-12419,swebench/sweb.eval.x86_64.django_1776_django-12419,True
